,Title,Book-Author,Image-URL-M_x,tags
0,To Kill a Mockingbird,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'historical', 'fiction', 'school', 'literature', 'young', 'adult', 'historical', 'novels', 'read', 'for', 'school', 'high', 'school', 'harperlee', 'to', 'kill', 'a', 'mockingbird']"
8,Twilight,Elie Wiesel,http://images.amazon.com/images/P/0671644076.01.MZZZZZZZ.jpg,"['young', 'adult', 'fantasy', 'romance', 'vampires', 'fiction', 'paranormal', 'paranormal', 'romance', 'supernatural', 'teen', 'urban', 'fantasy', 'eliewiesel', 'the', 'twilight', 'saga', '#1']"
10,The Chronicles of Narnia,C. S. Lewis,http://images.amazon.com/images/P/0590257889.01.MZZZZZZZ.jpg,"['fantasy', 'classics', 'fiction', 'young', 'adult', 'childrens', 'christian', 'adventure', 'science', 'fiction', 'fantasy', 'middle', 'grade', 'christian', 'fiction', 'c.s.lewis', 'the', 'chronicles', 'of', 'narnia', 'publication', 'order', '#1–7']"
11,The Hitchhiker's Guide to the Galaxy,Douglas Adams,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,"['science', 'fiction', 'fiction', 'humor', 'fantasy', 'classics', 'comedy', 'science', 'fiction', 'fantasy', 'audiobook', 'adventure', 'novels', 'douglasadams', 'the', ""hitchhiker's"", 'guide', 'to', 'the', 'galaxy', '#1']"
20,The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,"['fiction', 'mystery', 'thriller', 'suspense', 'mystery', 'thriller', 'historical', 'fiction', 'adventure', 'novels', 'crime', 'adult', 'danbrown', 'robert', 'langdon', '#2']"
26,City of Bones,Michael Connelly,http://images.amazon.com/images/P/0446611611.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'paranormal', 'romance', 'urban', 'fantasy', 'fiction', 'vampires', 'supernatural', 'angels', 'magic', 'michaelconnelly', 'the', 'mortal', 'instruments', '#1']"
32,Ender's Game,Orson Scott Card,http://images.amazon.com/images/P/0812589041.01.MZZZZZZZ.jpg,"['science', 'fiction', 'fiction', 'young', 'adult', 'fantasy', 'classics', 'science', 'fiction', 'fantasy', 'dystopia', 'war', 'audiobook', 'adventure', 'orsonscottcard', ""ender's"", 'saga', '#1']"
33,Anne of Green Gables,L.M. Montgomery,http://images.amazon.com/images/P/0340568879.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'young', 'adult', 'childrens', 'historical', 'fiction', 'middle', 'grade', 'historical', 'audiobook', 'canada', 'coming', 'of', 'age', 'l.m.montgomery', 'anne', 'of', 'green', 'gables', '#1']"
43,Harry Potter and the Sorcerer's Stone,J. K. Rowling,http://images.amazon.com/images/P/1594130000.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'young', 'adult', 'magic', 'childrens', 'middle', 'grade', 'adventure', 'classics', 'audiobook', 'science', 'fiction', 'fantasy', 'j.k.rowling', 'harry', 'potter', '#1']"
45,Dracula,Bram Stoker,http://images.amazon.com/images/P/156619301X.01.MZZZZZZZ.jpg,"['classics', 'horror', 'fiction', 'fantasy', 'vampires', 'gothic', 'paranormal', 'literature', 'audiobook', 'supernatural', 'bramstoker', 'dracula', '#1']"
65,A Wrinkle in Time,Madeleine L'Engle,http://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg,"['fantasy', 'fiction', 'classics', 'young', 'adult', 'science', 'fiction', 'childrens', 'middle', 'grade', 'time', 'travel', 'adventure', 'science', 'fiction', 'fantasy', ""madeleinel'engle"", 'time', 'quintet', '#1']"
70,The Adventures of Huckleberry Finn,Mark Twain,http://images.amazon.com/images/P/1566192951.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'historical', 'fiction', 'literature', 'young', 'adult', 'adventure', 'school', 'novels', 'read', 'for', 'school', 'american', 'marktwain', 'adventures', 'of', 'tom', 'and', 'huck', '#2']"
76,The Handmaid's Tale,Margaret Atwood,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg,"['fiction', 'classics', 'dystopia', 'science', 'fiction', 'feminism', 'fantasy', 'adult', 'audiobook', 'literature', 'novels', 'margaretatwood', 'the', ""handmaid's"", 'tale', '#1']"
80,The Giver,Lois Lowry,http://images.amazon.com/images/P/0440900794.01.MZZZZZZZ.jpg,"['young', 'adult', 'fiction', 'classics', 'dystopia', 'science', 'fiction', 'fantasy', 'school', 'childrens', 'middle', 'grade', 'read', 'for', 'school', 'loislowry', 'the', 'giver', '#1']"
83,Catch-22,Joseph L. Heller,http://images.amazon.com/images/P/044011120X.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'war', 'historical', 'fiction', 'humor', 'literature', 'novels', 'unfinished', 'american', 'historical', 'josephl.heller', 'catch-22', '#1']"
85,Dune,Frank Herbert,http://images.amazon.com/images/P/0425080021.01.MZZZZZZZ.jpg,"['science', 'fiction', 'fiction', 'fantasy', 'classics', 'science', 'fiction', 'fantasy', 'space', 'opera', 'audiobook', 'novels', 'adventure', 'adult', 'frankherbert', 'dune', '#1']"
94,The Pillars of the Earth,Ken Follett,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,"['historical', 'fiction', 'fiction', 'historical', 'fantasy', 'classics', 'medieval', 'audiobook', 'british', 'literature', 'novels', 'adult', 'kenfollett', 'kingsbridge', '#1']"
97,The Adventures of Sherlock Holmes,"Arthur Conan, Sir Doyle",http://images.amazon.com/images/P/0425098389.01.MZZZZZZZ.jpg,"['classics', 'mystery', 'fiction', 'short', 'stories', 'crime', 'detective', 'literature', 'mystery', 'thriller', 'adventure', 'audiobook', 'arthurconan,sirdoyle', 'sherlock', 'holmes', '#3']"
101,Watership Down,Richard George Adams,http://images.amazon.com/images/P/038039586X.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'fantasy', 'young', 'adult', 'animals', 'childrens', 'adventure', 'literature', 'novels', 'audiobook', 'richardgeorgeadams', 'watership', 'down', '#1']"
105,Little Women,Louisa M. Atcott,http://images.amazon.com/images/P/185854176X.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'historical', 'fiction', 'young', 'adult', 'romance', 'historical', 'literature', 'childrens', 'classic', 'literature', 'novels', 'louisam.atcott', 'little', 'women', '#1']"
129,Outlander,DIANA GABALDON,http://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg,"['historical', 'fiction', 'romance', 'fantasy', 'fiction', 'time', 'travel', 'historical', 'historical', 'romance', 'adult', 'audiobook', 'scotland', 'dianagabaldon', 'outlander', '#1']"
135,The Fellowship of the Ring,J. R. R. Tolkien,http://images.amazon.com/images/P/0345272587.01.MZZZZZZZ.jpg,"['classics', 'adventure', 'science', 'fiction', 'fantasy', 'high', 'fantasy', 'epic', 'fantasy', 'young', 'adult', 'novels', 'magic', 'literature', 'audiobook', 'j.r.r.tolkien', 'the', 'lord', 'of', 'the', 'rings', '#1']"
137,The Color Purple,Alice Walker,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'historical', 'fiction', 'feminism', 'historical', 'lgbt', 'african', 'american', 'literature', 'novels', 'adult', 'alicewalker', 'the', 'color', 'purple', 'collection', '#1']"
143,The Brothers Karamazov,FYODOR DOSTOEVSKY,http://images.amazon.com/images/P/0553212168.01.MZZZZZZZ.jpg,"['classics', 'fiction', 'russia', 'literature', 'russian', 'literature', 'philosophy', 'novels', '19th', 'century', 'classic', 'literature', 'religion', 'fyodordostoevsky', 'the', 'brothers', 'karamazov', '#1-4']"
145,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,http://images.amazon.com/images/P/0747545111.01.MZZZZZZZ.jpg,"['fantasy', 'young', 'adult', 'fiction', 'magic', 'childrens', 'adventure', 'middle', 'grade', 'audiobook', 'classics', 'science', 'fiction', 'fantasy', 'j.k.rowling', 'harry', 'potter', '#3']"
146,The Notebook,Nicholas Sparks,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg,"['romance', 'fiction', 'chick', 'lit', 'contemporary', 'adult', 'adult', 'fiction', 'contemporary', 'romance', 'love', 'drama', 'classics', 'nicholassparks', 'the', 'notebook', '#1']"
151,Interview with the Vampire,Anne Rice,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,"['horror', 'fantasy', 'fiction', 'vampires', 'paranormal', 'supernatural', 'classics', 'gothic', 'urban', 'fantasy', 'historical', 'fiction', 'annerice', 'the', 'vampire', 'chronicles', '#1']"
